============================================================
LIMELIGHT MODEL TRAINER
============================================================

Job ID: bd41a092
Spinning up 1 NVIDIA H100 GPU...

Steps: 20000, Batch size: 16, Platform: coral

STAGE 1/6: Downloading dataset...
  Downloading from Google Drive...
  Downloaded: 26.87 MB
  Extracting dataset...
  Archive contains 11 files
  Scanning for TFRecords and label map...
    Found label map: test/balls_label_map.pbtxt
    Found train record: train/balls.tfrecord
    Found label map: train/balls_label_map.pbtxt
    Found val record: valid/balls.tfrecord
    Found label map: valid/balls_label_map.pbtxt

STAGE 2/6: Loading pretrained model...
  Pretrained model ready

STAGE 3/6: Configuring training pipeline...
  Detected 1 classes: ['Fuels']

STAGE 4/6: Training model...
----------------------------------------
  Starting validation evaluation thread...
  Validation thread started (will evaluate at each checkpoint)
  Progress check #1: No loss data yet
  Progress check #2: No loss data yet
  Progress check #3: No loss data yet
  Progress check #4: No loss data yet
  Progress check #5: No loss data yet
  TensorBoard val tags: ['eval_side_by_side_0_0', 'eval_side_by_side_1_0', 'eval_side_by_side_2_0', 'eval_side_by_side_3_0', 'eval_side_by_side_4_0', 'eval_side_by_side_5_0', 'eval_side_by_side_6_0', 'eval_side_by_side_7_0', 'eval_side_by_side_8_0', 'eval_side_by_side_9_0']
  TensorBoard train tags: ['train_input_images', 'steps_per_sec', 'Loss/localization_loss', 'Loss/classification_loss', 'Loss/regularization_loss', 'Loss/total_loss', 'learning_rate']
  Step 7150/20000 - Train Loss: 0.0048 | Val: 0.0046
  Step 7175/20000 - Train Loss: 0.0045 | Val: 0.0046
  Step 7225/20000 - Train Loss: 0.0054 | Val: 0.0046
  Step 7275/20000 - Train Loss: 0.0055 | Val: 0.0046
  Step 7300/20000 - Train Loss: 0.0040 | Val: 0.0046
  Step 7350/20000 - Train Loss: 0.0057 | Val: 0.0046
  Step 7375/20000 - Train Loss: 0.0050 | Val: 0.0046
  Step 7425/20000 - Train Loss: 0.0037 | Val: 0.0046
  Step 7450/20000 - Train Loss: 0.0081 | Val: 0.0046
  Step 7500/20000 - Train Loss: 0.0180 | Val: 0.0046
  Step 7550/20000 - Train Loss: 0.0046 | Val: 0.0042
  Step 7575/20000 - Train Loss: 0.0037 | Val: 0.0042
  Step 7625/20000 - Train Loss: 0.0584 | Val: 0.0042
  Step 7650/20000 - Train Loss: 0.0275 | Val: 0.0042
  Step 7700/20000 - Train Loss: 0.0057 | Val: 0.0042
  Step 7725/20000 - Train Loss: 0.0044 | Val: 0.0042
  Step 7775/20000 - Train Loss: 0.0075 | Val: 0.0042
  Step 7825/20000 - Train Loss: 0.0051 | Val: 0.0042
  Step 7850/20000 - Train Loss: 0.0041 | Val: 0.0042
  Step 7900/20000 - Train Loss: 0.0045 | Val: 0.0042
  Step 7925/20000 - Train Loss: 0.0083 | Val: 0.0042
  Step 7975/20000 - Train Loss: 0.0072 | Val: 0.0042
  Step 8000/20000 - Train Loss: 0.0077 | Val: 0.0049
  Step 8050/20000 - Train Loss: 0.0062 | Val: 0.0049
  Step 8100/20000 - Train Loss: 0.0064 | Val: 0.0049
  Step 8125/20000 - Train Loss: 0.0057 | Val: 0.0049
  Step 8175/20000 - Train Loss: 0.0033 | Val: 0.0049
  Step 8200/20000 - Train Loss: 0.0094 | Val: 0.0049
  Step 8250/20000 - Train Loss: 0.0053 | Val: 0.0049
  Step 8275/20000 - Train Loss: 0.0056 | Val: 0.0049
  Step 8325/20000 - Train Loss: 0.0147 | Val: 0.0049
  Step 8375/20000 - Train Loss: 0.0336 | Val: 0.0049
  Step 8400/20000 - Train Loss: 0.0079 | Val: 0.0049
  Step 8450/20000 - Train Loss: 0.0041 | Val: 0.0049
  Step 8475/20000 - Train Loss: 0.0040 | Val: 0.0049
  Step 8525/20000 - Train Loss: 0.0223 | Val: 0.0042
  Step 8550/20000 - Train Loss: 0.0040 | Val: 0.0042
  Step 8600/20000 - Train Loss: 0.0042 | Val: 0.0042
  Step 8650/20000 - Train Loss: 0.0040 | Val: 0.0042
  Step 8675/20000 - Train Loss: 0.0049 | Val: 0.0042
  Step 8725/20000 - Train Loss: 0.0031 | Val: 0.0042
  Step 8750/20000 - Train Loss: 0.0034 | Val: 0.0042
  Step 8800/20000 - Train Loss: 0.0089 | Val: 0.0042
  Step 8825/20000 - Train Loss: 0.0115 | Val: 0.0042
  Step 8875/20000 - Train Loss: 0.0047 | Val: 0.0042
  Step 8925/20000 - Train Loss: 0.0047 | Val: 0.0042
  Step 8950/20000 - Train Loss: 0.0067 | Val: 0.0042
  Step 9000/20000 - Train Loss: 0.0046 | Val: 0.0042
  Step 9025/20000 - Train Loss: 0.0297 | Val: 0.0039
  Step 9075/20000 - Train Loss: 0.0080 | Val: 0.0039
  Step 9100/20000 - Train Loss: 0.0040 | Val: 0.0039
  Step 9150/20000 - Train Loss: 0.0040 | Val: 0.0039
  Step 9200/20000 - Train Loss: 0.0034 | Val: 0.0039
  Step 9225/20000 - Train Loss: 0.0029 | Val: 0.0039
  Step 9275/20000 - Train Loss: 0.0039 | Val: 0.0039
  Step 9300/20000 - Train Loss: 0.0099 | Val: 0.0039
  Step 9350/20000 - Train Loss: 0.0078 | Val: 0.0039
  Step 9375/20000 - Train Loss: 0.0097 | Val: 0.0039
  Step 9425/20000 - Train Loss: 0.0039 | Val: 0.0039
  Step 9475/20000 - Train Loss: 0.0049 | Val: 0.0039
  Step 9500/20000 - Train Loss: 0.0043 | Val: 0.0039
  Step 9550/20000 - Train Loss: 0.0042 | Val: 0.0038
  Step 9575/20000 - Train Loss: 0.0057 | Val: 0.0038
  Step 9625/20000 - Train Loss: 0.0046 | Val: 0.0038
  Step 9650/20000 - Train Loss: 0.0048 | Val: 0.0038
  Step 9700/20000 - Train Loss: 0.0036 | Val: 0.0038
  Step 9750/20000 - Train Loss: 0.0049 | Val: 0.0038
  Step 9775/20000 - Train Loss: 0.0074 | Val: 0.0038
  Step 9825/20000 - Train Loss: 0.0050 | Val: 0.0038
  Step 9850/20000 - Train Loss: 0.0039 | Val: 0.0038
  Step 9900/20000 - Train Loss: 0.0063 | Val: 0.0038
  Step 9925/20000 - Train Loss: 0.0034 | Val: 0.0038
  Step 9975/20000 - Train Loss: 0.0183 | Val: 0.0038
  Step 10025/20000 - Train Loss: 0.0050 | Val: 0.0038
  Step 10050/20000 - Train Loss: 0.0135 | Val: 0.0038
  Step 10100/20000 - Train Loss: 0.0053 | Val: 0.0038
  Step 10125/20000 - Train Loss: 0.0147 | Val: 0.0038
  Step 10175/20000 - Train Loss: 0.0033 | Val: 0.0038
  Step 10200/20000 - Train Loss: 0.0029 | Val: 0.0038
  Step 10250/20000 - Train Loss: 0.0038 | Val: 0.0038
  Step 10300/20000 - Train Loss: 0.0033 | Val: 0.0038
  Step 10325/20000 - Train Loss: 0.0037 | Val: 0.0038
  Step 10375/20000 - Train Loss: 0.0039 | Val: 0.0038
  Step 10400/20000 - Train Loss: 0.0092 | Val: 0.0038
  Step 10450/20000 - Train Loss: 0.0048 | Val: 0.0038
  Step 10475/20000 - Train Loss: 0.0118 | Val: 0.0038
  Step 10525/20000 - Train Loss: 0.0053 | Val: 0.0034
  Step 10575/20000 - Train Loss: 0.0123 | Val: 0.0034
  Step 10600/20000 - Train Loss: 0.0055 | Val: 0.0034
  Step 10650/20000 - Train Loss: 0.0032 | Val: 0.0034
  Step 10675/20000 - Train Loss: 0.0086 | Val: 0.0034
  Step 10725/20000 - Train Loss: 0.0034 | Val: 0.0034
  Step 10750/20000 - Train Loss: 0.0034 | Val: 0.0034
  Step 10800/20000 - Train Loss: 0.0052 | Val: 0.0034
  Step 10850/20000 - Train Loss: 0.0031 | Val: 0.0034
  Step 10875/20000 - Train Loss: 0.0039 | Val: 0.0034
  Step 10925/20000 - Train Loss: 0.0266 | Val: 0.0034
  Step 10950/20000 - Train Loss: 0.0136 | Val: 0.0034
  Step 11000/20000 - Train Loss: 0.0049 | Val: 0.0034
  Step 11025/20000 - Train Loss: 0.0074 | Val: 0.0037
  Step 11075/20000 - Train Loss: 0.0049 | Val: 0.0037
  Step 11125/20000 - Train Loss: 0.0049 | Val: 0.0037
  Step 11150/20000 - Train Loss: 0.0029 | Val: 0.0037
  Step 11200/20000 - Train Loss: 0.0044 | Val: 0.0037
  Step 11225/20000 - Train Loss: 0.0036 | Val: 0.0037
  Step 11275/20000 - Train Loss: 0.0071 | Val: 0.0037
  Step 11300/20000 - Train Loss: 0.0035 | Val: 0.0037
  Step 11350/20000 - Train Loss: 0.0048 | Val: 0.0037
  Step 11400/20000 - Train Loss: 0.0042 | Val: 0.0037
  Step 11425/20000 - Train Loss: 0.0046 | Val: 0.0037
  Step 11475/20000 - Train Loss: 0.0036 | Val: 0.0037
  Step 11500/20000 - Train Loss: 0.0047 | Val: 0.0037
  Step 11550/20000 - Train Loss: 0.0331 | Val: 0.0035
  Step 11575/20000 - Train Loss: 0.0035 | Val: 0.0035
  Step 11625/20000 - Train Loss: 0.0051 | Val: 0.0035
  Step 11675/20000 - Train Loss: 0.0030 | Val: 0.0035
  Step 11700/20000 - Train Loss: 0.0094 | Val: 0.0035
  Step 11750/20000 - Train Loss: 0.0050 | Val: 0.0035
  Step 11775/20000 - Train Loss: 0.0082 | Val: 0.0035
  Step 11825/20000 - Train Loss: 0.0038 | Val: 0.0035
  Step 11850/20000 - Train Loss: 0.0039 | Val: 0.0035
  Step 11900/20000 - Train Loss: 0.0112 | Val: 0.0035
  Step 11950/20000 - Train Loss: 0.0100 | Val: 0.0035
  Step 11975/20000 - Train Loss: 0.0040 | Val: 0.0035
  Step 12025/20000 - Train Loss: 0.0048 | Val: 0.0035
  Step 12050/20000 - Train Loss: 0.0057 | Val: 0.0035
  Step 12100/20000 - Train Loss: 0.0035 | Val: 0.0035
  Step 12125/20000 - Train Loss: 0.0041 | Val: 0.0035
  Step 12175/20000 - Train Loss: 0.0040 | Val: 0.0035
  Step 12225/20000 - Train Loss: 0.0028 | Val: 0.0035
  Step 12250/20000 - Train Loss: 0.0051 | Val: 0.0035
  Step 12300/20000 - Train Loss: 0.0038 | Val: 0.0035
  Step 12325/20000 - Train Loss: 0.0047 | Val: 0.0035
  Step 12375/20000 - Train Loss: 0.0109 | Val: 0.0035
  Step 12400/20000 - Train Loss: 0.0037 | Val: 0.0035
  Step 12450/20000 - Train Loss: 0.0033 | Val: 0.0035
  Step 12500/20000 - Train Loss: 0.0074 | Val: 0.0035
  Step 12525/20000 - Train Loss: 0.0054 | Val: 0.0034
  Step 12575/20000 - Train Loss: 0.0047 | Val: 0.0034
  Step 12600/20000 - Train Loss: 0.0082 | Val: 0.0034
  Step 12650/20000 - Train Loss: 0.0027 | Val: 0.0034
  Step 12675/20000 - Train Loss: 0.0038 | Val: 0.0034
  Step 12725/20000 - Train Loss: 0.0026 | Val: 0.0034
  Step 12775/20000 - Train Loss: 0.0101 | Val: 0.0034
  Step 12800/20000 - Train Loss: 0.0032 | Val: 0.0034
  Step 12850/20000 - Train Loss: 0.0053 | Val: 0.0034
  Step 12875/20000 - Train Loss: 0.0167 | Val: 0.0034
  Step 12925/20000 - Train Loss: 0.0032 | Val: 0.0034
  Step 12950/20000 - Train Loss: 0.0036 | Val: 0.0034
  Step 13000/20000 - Train Loss: 0.0033 | Val: 0.0034
  Step 13050/20000 - Train Loss: 0.0042 | Val: 0.0033
  Step 13075/20000 - Train Loss: 0.0111 | Val: 0.0033
  Step 13125/20000 - Train Loss: 0.0049 | Val: 0.0033
  Step 13150/20000 - Train Loss: 0.0058 | Val: 0.0033
  Step 13200/20000 - Train Loss: 0.0055 | Val: 0.0033
  Step 13225/20000 - Train Loss: 0.0052 | Val: 0.0033
  Step 13275/20000 - Train Loss: 0.0051 | Val: 0.0033
